f_1,f_2,f_3,a_1,a_2
100.0,100.0,13.116,0.297,-0.695
100.0,100.0,13.284,0.298,-0.704
100.0,100.0,13.468,0.299,-0.713
100.0,98.665,13.666,0.3,-0.721
100.0,96.144,13.915,0.297,-0.729
100.0,93.493,14.234,0.288,-0.737
100.0,90.764,14.606,0.274,-0.743
100.0,88.002,15.017,0.258,-0.748
100.0,85.241,15.456,0.239,-0.751
100.0,82.512,15.916,0.218,-0.754
100.0,79.844,16.391,0.196,-0.755
100.0,77.263,16.875,0.174,-0.756
100.0,74.792,17.365,0.151,-0.756
100.0,72.453,17.856,0.128,-0.756
100.0,70.269,18.347,0.106,-0.755
100.0,68.255,18.835,0.084,-0.754
100.0,66.425,19.318,0.064,-0.755
100.0,64.785,19.794,0.045,-0.755
100.0,63.33,20.263,0.028,-0.757
100.0,62.044,20.724,0.012,-0.76
100.0,60.899,21.179,-0.003,-0.765
100.0,59.854,21.629,-0.016,-0.77
100.0,58.859,22.076,-0.028,-0.775
100.0,57.863,22.521,-0.04,-0.782
100.0,56.82,22.966,-0.051,-0.788
100.0,55.695,23.409,-0.062,-0.794
100.0,54.468,23.847,-0.073,-0.799
100.0,53.133,24.275,-0.085,-0.804
100.0,51.697,24.688,-0.097,-0.808
100.0,50.175,25.079,-0.11,-0.811
100.0,48.589,25.441,-0.124,-0.814
100.0,46.959,25.768,-0.138,-0.816
100.0,45.309,26.055,-0.152,-0.818
100.0,43.658,26.297,-0.166,-0.819
100.0,42.026,26.491,-0.181,-0.82
100.0,40.428,26.633,-0.196,-0.821
100.0,38.878,26.722,-0.211,-0.822
100.0,37.39,26.757,-0.225,-0.823
100.0,35.974,26.738,-0.24,-0.824
100.0,34.638,26.666,-0.254,-0.825
100.0,33.391,26.542,-0.268,-0.826
100.0,32.238,26.369,-0.282,-0.827
100.0,31.184,26.15,-0.295,-0.828
100.0,30.233,25.888,-0.308,-0.829
100.0,29.386,25.588,-0.32,-0.83
100.0,28.645,25.257,-0.332,-0.832
97.744,28.011,24.901,-0.343,-0.833
94.508,27.486,24.531,-0.355,-0.834
91.315,27.072,24.159,-0.366,-0.836
88.172,26.767,23.795,-0.378,-0.837
85.087,26.568,23.449,-0.39,-0.837
82.068,26.471,23.13,-0.402,-0.838
79.124,26.47,22.85,-0.414,-0.838
76.264,26.561,22.614,-0.426,-0.838
73.498,26.735,22.431,-0.438,-0.838
70.833,26.986,22.304,-0.45,-0.836
68.275,27.304,22.237,-0.463,-0.835
65.83,27.681,22.23,-0.475,-0.832
63.501,28.104,22.283,-0.488,-0.829
61.292,28.565,22.394,-0.501,-0.825
59.317,29.0,22.438,-0.511,-0.821
57.644,29.358,22.305,-0.517,-0.816
56.052,29.714,22.204,-0.523,-0.81
54.542,30.064,22.132,-0.53,-0.803
53.112,30.4,22.082,-0.537,-0.795
51.762,30.718,22.052,-0.543,-0.786
50.489,31.011,22.037,-0.55,-0.776
49.293,31.275,22.033,-0.556,-0.765
48.171,31.507,22.039,-0.562,-0.754
47.121,31.702,22.051,-0.567,-0.742
46.14,31.857,22.068,-0.573,-0.729
45.226,31.97,22.088,-0.577,-0.716
44.376,32.038,22.111,-0.581,-0.702
43.588,32.06,22.136,-0.585,-0.688
42.858,32.033,22.161,-0.588,-0.673
42.183,31.955,22.188,-0.591,-0.658
31.871,37.455,24.086,-0.774,-0.459
31.644,37.174,24.158,-0.78,-0.438
31.435,36.799,24.257,-0.785,-0.418
31.242,36.327,24.38,-0.79,-0.398
31.064,35.754,24.526,-0.795,-0.378
30.9,35.074,24.694,-0.799,-0.359
30.747,34.286,24.878,-0.804,-0.341
30.605,33.387,25.077,-0.808,-0.323
30.473,32.376,25.286,-0.812,-0.305
30.348,31.254,25.5,-0.816,-0.288
30.231,30.022,25.715,-0.82,-0.271
30.119,28.683,25.923,-0.824,-0.255
30.012,27.242,26.121,-0.827,-0.238
29.909,25.703,26.301,-0.83,-0.221
29.809,24.073,26.458,-0.833,-0.204
29.711,22.36,26.587,-0.835,-0.186
29.615,20.571,26.681,-0.836,-0.168
29.519,18.716,26.734,-0.837,-0.149
29.425,16.803,26.743,-0.837,-0.13
29.331,14.841,26.702,-0.837,-0.109
29.237,12.838,26.606,-0.835,-0.087
29.141,10.802,26.452,-0.832,-0.064
29.044,8.741,26.237,-0.828,-0.039
28.943,6.66,25.959,-0.822,-0.012
28.836,4.565,25.616,-0.815,0.016
28.719,2.461,25.208,-0.807,0.046
28.587,0.352,24.735,-0.796,0.077
28.434,-1.76,24.2,-0.785,0.11
28.251,-3.87,23.607,-0.771,0.145
28.03,-5.976,22.96,-0.756,0.18
27.76,-8.073,22.266,-0.739,0.217
27.43,-10.159,21.532,-0.72,0.253
27.028,-12.229,20.766,-0.701,0.29
26.543,-14.278,19.977,-0.681,0.326
25.964,-16.304,19.174,-0.659,0.361
25.281,-18.302,18.365,-0.638,0.394
24.487,-20.269,17.558,-0.616,0.426
23.575,-22.205,16.758,-0.595,0.455
22.541,-24.106,15.97,-0.573,0.482
21.38,-25.975,15.199,-0.552,0.506
20.093,-27.809,14.446,-0.532,0.527
18.677,-29.611,13.713,-0.513,0.545
17.134,-31.382,12.999,-0.494,0.56
15.465,-33.121,12.305,-0.477,0.572
13.673,-34.829,11.629,-0.46,0.581
11.76,-36.508,10.97,-0.444,0.587
9.731,-38.156,10.326,-0.429,0.59
7.592,-39.773,9.697,-0.414,0.59
5.348,-41.357,9.081,-0.4,0.588
3.009,-42.907,8.478,-0.387,0.583
0.585,-44.419,7.891,-0.374,0.575
-1.91,-45.891,7.32,-0.361,0.566
-4.461,-47.319,6.771,-0.349,0.555
-7.05,-48.699,6.247,-0.336,0.542
-9.655,-50.03,5.756,-0.324,0.528
-12.253,-51.307,5.304,-0.312,0.512
-14.818,-52.528,4.899,-0.299,0.496
-17.325,-53.693,4.548,-0.287,0.48
-19.745,-54.8,4.258,-0.275,0.463
-22.052,-55.85,4.035,-0.263,0.446
