Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	N episodes
82	661.57166	400.45956	1159.2454	-593.9023	1162.4117	63.48638	50.30586	215.62038	-198.28316	1660000	6.1035155e-09	1208.6433	-0.008683628	-800.7655	3.57645	0.007914328	0.08025	79.0	4287.621990919113	1595
83	679.66974	622.5441	1482.1173	-535.4163	1033.579	66.93741	43.037136	209.02043	-170.49211	1680000	1.525879e-08	3796.764	-0.006015192	-1826.2404	3.5767257	0.0071056383	0.0966	79.0	4347.759126186371	1615
84	1037.0886	611.48083	1628.3022	-582.686	1074.3334	86.834564	55.356964	225.36108	-212.67043	1700000	-1.373291e-08	2436.7126	-0.010767366	-1297.6833	3.576254	0.00897628	0.10655	79.0	4407.438761949539	1634
85	1147.763	561.47394	2264.3699	30.94844	1196.5	97.08668	74.938705	267.96707	-240.73132	1720000	1.2207031e-08	1926.4932	-0.0040359036	-1055.1075	3.576796	0.011387266	0.1584	3.0	4451.9289355278015	1651
86	1733.6643	678.2618	2587.839	-602.7449	1147.7646	133.69383	76.799324	305.9356	-334.00574	1740000	4.119873e-08	2438.35	-0.011720265	-1562.6808	3.5577345	0.012397271	0.1114	79.0	4511.46723651886	1669
87	1267.5336	999.55524	2140.5623	-613.5795	1052.6666	125.80816	110.850945	365.11526	-351.04108	1760000	3.0517577e-09	5642.7114	-0.0021769134	-3802.6316	3.5678058	0.015975231	0.2324	2.0	4556.084899663925	1688
88	1196.3754	1347.428	2942.189	-609.8963	952.8	130.3883	137.70981	390.37488	-433.40598	1780000	-6.1035155e-09	7048.236	-0.0027732148	-4893.18	3.5714548	0.01509256	0.1708	4.0	4601.487003803253	1709
89	2095.2144	879.98315	3357.562	64.86294	1200.0	179.31895	135.42033	401.30127	-188.6321	1800000	4.577637e-09	4026.688	-0.0072663957	-3318.4385	3.5559273	0.01012892	0.085	79.0	4661.542382955551	1726
90	2692.1016	1260.3419	4421.517	83.12679	1200.0	221.9691	157.00893	422.67178	-13.891854	1820000	3.0517577e-09	1671.492	-0.0038008697	-1171.622	3.5298893	0.0052657328	0.03995	6.0	4706.577365875244	1743
91	2538.7935	1236.9452	4616.068	138.53235	1200.0	224.27174	177.32526	450.48944	-49.315826	1840000	3.0517577e-09	783.7447	-0.0070537264	-335.1543	3.5461414	0.01014093	0.16915	5.0	4751.574384212494	1760
92	3274.5737	1381.1917	4682.58	-158.26758	1116.4117	314.50516	169.99843	463.5045	-22.379425	1860000	-1.5258789e-09	5622.5464	0.0016623855	-4385.1685	3.4993765	0.023555212	0.2537	1.0	4796.600016117096	1778
93	2374.2017	2036.7501	5168.1035	-609.4459	1006.0	264.01868	198.11191	476.63187	-301.87482	1880000	-7.629395e-09	7265.437	-0.0036136047	-3268.4065	3.5320554	0.008758592	0.10545	6.0	4841.973654747009	1798
94	2476.9048	1784.0894	4442.5557	-514.79144	1070.7778	252.30225	204.41116	490.3088	-243.6755	1900000	-3.051758e-08	3916.5923	-0.008663568	-2437.456	3.5222816	0.008287231	0.08225	79.0	4902.081482887268	1817
95	2660.3843	1626.6556	4680.4316	-384.83337	1147.7059	242.847	216.61938	493.559	-353.52948	1920000	3.0517577e-09	3361.839	-0.0071534393	-2895.6602	3.5037794	0.007616765	0.08525	79.0	4961.668186187744	1835
96	2617.0718	1867.954	5419.8784	-597.32587	1049.3158	280.97153	201.68835	490.23703	-156.87215	1940000	3.0517577e-09	4438.3843	-0.008588079	-2823.5564	3.4716392	0.010531456	0.12285	79.0	5021.324230194092	1855
97	3108.7932	1550.049	4636.6055	-101.77164	1125.4706	298.7686	197.30186	489.6575	-228.2575	1960000	9.155274e-09	4876.114	-0.008140021	-2656.502	3.408971	0.010088205	0.1258	79.0	5081.569519519806	1873
98	3246.9338	1739.0344	5744.6265	-424.09802	1099.4445	316.3279	194.76283	486.6582	-191.47314	1980000	-6.1035155e-09	4464.1255	-0.008752838	-3103.2793	3.360783	0.009969494	0.1022	79.0	5141.369318723679	1892
99	3545.9575	1314.0637	5257.0786	-545.689	1136.1765	345.83688	183.61804	494.24622	-158.97621	2000000	-8.7380405e-09	1738.3176	-0.007200478	-1435.1521	3.4162226	0.005646235	0.06755	79.0	5200.953325986862	1910
100	3526.4517	1940.0565	5360.3237	-603.5236	1120.0	339.5184	201.22983	494.48843	-231.14702	2020000	3.0517577e-09	1869.521	-0.007614885	-1756.3296	3.3883905	0.008341262	0.09405	79.0	5259.867583036423	1928
