Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
78	597.689	47.5937	650.343	522.953	1000.0	45.5184	6.0196	52.2917	-6.93735	316000	1.04904e-08	158.36	-0.00737503	-17.8078	4.09854	0.0162485	0.19325	4.0	311.96776247024536
79	567.855	104.851	667.699	411.006	1000.0	42.4449	6.34091	50.6414	-8.39405	320000	7.39098e-09	238.464	-0.010845	-51.2388	4.08065	0.0142288	0.21425	5.0	315.07320284843445
80	616.944	33.9168	671.563	579.983	1000.0	42.8382	7.28508	50.541	-20.8463	324000	-3.09944e-09	180.409	-0.00804061	-32.2371	4.11737	0.0156006	0.18225	4.0	318.5802845954895
81	589.581	47.7433	652.119	517.89	1000.0	42.7155	4.55061	51.0888	3.86868	328000	2.5034e-08	154.256	-0.0453812	-12.7682	4.09795	0.00838172	0.22625	79.0	322.38408374786377
82	605.764	43.9926	665.86	548.139	1000.0	40.9866	4.93027	50.1	6.65734	332000	3.63588e-08	197.72	-0.0477704	-7.66663	4.03526	0.0151173	0.23775	78.0	327.5085463523865
83	649.448	29.0761	684.934	608.891	1000.0	42.1619	5.11969	50.6152	7.40501	336000	-1.58548e-08	150.862	-0.0119844	-20.3655	3.95632	0.0156684	0.1705	4.0	330.6012930870056
84	644.984	35.564	694.277	610.387	1000.0	45.2532	4.85451	51.2511	15.0018	340000	1.57356e-08	175.354	-0.0178526	-7.9064	3.95503	0.0157339	0.21825	12.0	333.7761437892914
85	633.535	24.0143	656.543	596.506	1000.0	45.1261	4.96837	50.9706	-0.841108	344000	4.76837e-10	141.512	-0.00882561	-13.7443	3.96584	0.0166599	0.20575	4.0	336.94973063468933
86	643.298	42.7252	710.397	596.161	1000.0	41.6374	6.11266	48.7547	9.91285	348000	-4.76837e-09	232.199	-0.00935557	-34.6853	3.86452	0.0160224	0.23075	4.0	341.32581973075867
87	673.231	31.9597	704.497	630.065	1000.0	46.0962	6.28779	51.9242	-3.85152	352000	6.31809e-09	166.602	-0.00942443	-17.3284	3.90101	0.0126864	0.22075	4.0	345.5687417984009
88	659.108	24.8004	679.634	616.818	1000.0	44.8284	3.88428	51.6043	13.8493	356000	1.14441e-08	142.721	-0.0140721	-11.8986	3.90642	0.015557	0.223	6.0	350.19495677948
89	619.886	20.695	650.26	593.466	1000.0	42.5365	2.92282	50.136	21.5225	360000	-4.29153e-09	146.51	-0.0451118	-21.9156	3.84984	0.0116295	0.2335	79.0	355.0985903739929
90	691.983	24.9925	729.008	666.655	1000.0	39.3849	4.11674	47.8254	12.2293	364000	-2.12193e-08	225.034	-0.0112466	-35.7655	3.84099	0.0175113	0.2365	4.0	359.94021105766296
91	629.007	33.7671	672.847	581.246	1000.0	43.7278	3.8345	51.3444	23.3416	368000	3.67165e-08	188.99	-0.0153107	-38.1285	3.80764	0.0153507	0.18525	6.0	363.0638978481293
92	700.205	10.9028	711.143	686.688	1000.0	40.2439	4.60856	49.174	11.3856	372000	-2.5034e-09	134.244	-0.0128657	-23.6716	3.83629	0.0179145	0.199	8.0	366.19744777679443
93	673.922	52.6832	751.146	607.663	1000.0	43.7474	3.65252	50.7324	16.9057	376000	9.65595e-09	181.251	-0.014611	-24.1591	3.79576	0.0167025	0.1715	8.0	369.32958912849426
