Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	N episodes
77	186.85498	210.38203	485.3192	-474.16827	1162.0	17.04023	31.712528	104.64969	-307.76175	1560000	1.0681152e-08	1253.1805	-0.00902776	-1128.4718	4.3675847	0.009103736	0.108	79.0	4158.459124803543	1537
78	160.05342	250.96936	493.6507	-548.2719	1110.2222	15.097887	27.100315	94.42973	-284.90573	1580000	-1.6784668e-08	1791.5062	-0.010899287	-1347.0175	4.355884	0.011614135	0.12765	79.0	4216.470833063126	1556
79	176.0352	289.40384	448.37067	-563.08234	1082.8889	7.0945797	44.667572	128.85411	-195.03072	1600000	0.0	3422.2488	-0.008978162	-2234.289	4.3121123	0.012756236	0.12725	59.0	4271.551886796951	1575
80	230.8354	248.7857	669.2436	-551.34705	1136.5883	18.635702	30.346762	141.22566	-375.0608	1620000	2.4414062e-08	628.1103	-0.010047385	-276.89334	4.291804	0.009725982	0.119	79.0	4329.547857761383	1593
81	75.66997	356.8853	491.6163	-599.6145	1003.3684	16.401924	35.967197	115.52328	-425.0435	1640000	3.0517577e-09	1401.6515	-0.010246001	-929.7362	4.282168	0.0065509155	0.09025	79.0	4387.866454362869	1613
82	275.7849	215.77856	580.25214	-492.89105	1140.4706	19.94891	36.77315	101.4682	-469.9456	1660000	-3.0517577e-09	335.70782	-0.009820835	-230.32013	4.2401533	0.009472557	0.09135	79.0	4446.718806743622	1631
83	231.08904	186.94318	461.28665	-372.6658	1163.9412	23.301054	23.449574	116.16164	-133.46446	1680000	-9.155274e-09	907.5968	-0.006896783	-721.9015	4.2079697	0.007935962	0.0983	79.0	4505.546747922897	1649
84	258.4558	301.86432	546.63495	-601.56537	1096.7222	22.607056	37.50243	95.10729	-430.19263	1700000	-7.629395e-09	296.05566	-0.009049869	-126.60443	4.2259	0.0077519957	0.10415	79.0	4563.638328075409	1668
85	108.405685	323.30557	436.8805	-592.02655	1016.0	13.54663	51.28	154.1727	-475.43372	1720000	-8.392334e-09	1335.8353	-0.004099495	-814.2514	4.1876416	0.015783686	0.18835	2.0	4607.2163326740265	1688
86	221.72424	231.33244	535.92957	-524.0171	1140.7059	12.220173	35.10778	148.76288	-433.45908	1740000	1.2207031e-08	1974.9646	-0.008652649	-1667.9819	4.1694555	0.01039148	0.0876	79.0	4666.135233879089	1706
87	242.57976	198.66298	480.96432	-431.99454	1158.2354	23.525093	22.044807	158.90482	-132.11823	1760000	6.1035155e-09	1266.0724	-0.009112241	-720.7144	4.1729436	0.00904835	0.1092	79.0	4725.138893604279	1724
88	299.93365	145.36685	574.3625	21.791563	1200.0	17.121273	32.959587	97.0105	-198.18451	1780000	2.4414062e-08	646.6924	-0.010181774	-620.3492	4.174486	0.0130803	0.12155	79.0	4783.3551552295685	1741
89	355.06955	257.6541	593.11273	-553.2551	1152.5883	28.848637	23.842144	117.00087	-57.497658	1800000	3.0517577e-09	1142.3859	-0.0076505737	-892.07214	4.1264133	0.00785342	0.0807	79.0	4841.6695330142975	1759
90	170.54376	265.72162	485.68198	-597.4386	1097.7778	14.675845	38.215862	135.6138	-236.61938	1820000	0.0	1567.3926	-0.01066557	-1130.345	4.202206	0.009914274	0.08705	79.0	4900.8950917720795	1778
91	273.3769	215.43207	494.33353	-444.14374	1182.875	24.004047	20.042915	95.40244	-45.842445	1840000	-1.2207031e-08	853.3053	-0.0073208404	-425.05124	4.1695943	0.0068009584	0.09035	79.0	4959.428598880768	1795
92	162.764	268.81693	528.0918	-605.3117	1128.7059	15.728	26.824688	135.6694	-134.08142	1860000	-6.1035155e-09	1440.6672	-0.007808024	-1131.8354	4.1518674	0.0075531662	0.11775	79.0	5018.241074323654	1813
93	261.91763	279.66217	615.9245	-427.59735	1142.5294	23.445297	32.440353	134.51157	-366.58273	1880000	-1.9836426e-08	1326.3083	-0.003039679	-762.643	4.1267	0.015980532	0.21415	3.0	5062.395372867584	1831
94	246.12439	264.9998	625.4695	-433.80466	1115.3529	16.764097	33.23349	185.80333	-450.63022	1900000	-3.0517577e-09	2003.3951	-0.008633023	-1332.9197	4.116601	0.009980667	0.1196	79.0	5121.3277225494385	1849
95	248.19617	201.11449	620.7053	-394.33374	1168.4117	18.872099	39.554337	178.67162	-405.1683	1920000	9.536743e-09	1495.0869	-0.008526869	-1029.7817	4.061976	0.0092195645	0.1109	79.0	5178.646795034409	1867
96	253.18037	235.43948	496.25958	-535.468	1132.9412	28.179707	24.744932	206.13434	-160.67783	1940000	2.2888185e-09	1480.5878	-0.0034115692	-1041.6752	4.039439	0.012863136	0.1665	3.0	5222.322727680206	1885
97	224.71707	291.2696	491.52582	-601.9291	1085.6111	24.13554	31.127275	188.63686	-266.53564	1960000	7.629395e-09	351.03827	-0.003637793	-217.30315	4.045247	0.014665793	0.1931	3.0	5266.137578248978	1904
98	193.32391	326.8828	569.80597	-533.82837	1061.4445	23.929838	44.703186	113.44098	-384.24265	1980000	-1.0681152e-08	3993.9272	-0.0021474427	-2689.1997	4.026193	0.015129568	0.20825	2.0	5309.709626197815	1923
99	22.358702	388.80017	776.36725	-493.95325	828.6667	18.180294	57.98381	155.98956	-358.59534	2000000	4.577637e-09	7990.841	-0.010796568	-5025.0913	4.0426	0.0052899905	0.11525	79.0	5368.124191761017	1948
100	329.16702	140.79022	511.0934	-79.79682	1185.0625	19.878428	41.51123	98.51612	-453.94458	2020000	1.5258789e-09	1144.8499	-0.01144421	-912.7538	4.0589094	0.0114004165	0.11975	79.0	5426.358729124069	1965
101	150.22636	391.08023	658.27045	-571.5544	989.15	24.504057	29.27094	99.7631	-219.38913	2040000	-3.2043456e-08	4533.804	-0.009830594	-2818.7397	3.9856007	0.0074676634	0.11835	79.0	5484.596113681793	1986
102	373.60257	128.23055	610.6144	141.06688	1200.0	25.63547	21.98119	94.098785	-55.223328	2060000	6.1035155e-09	153.35135	-0.0137584265	-123.64922	4.016362	0.01062396	0.12315	79.0	5543.071962356567	2003
103	255.15709	313.1716	591.70166	-549.56805	1098.5	25.632057	26.99925	100.97775	-236.43597	2080000	3.0517577e-09	1044.1416	-0.010750865	-698.89453	4.0174384	0.010043816	0.1221	79.0	5601.453974246979	2022
104	336.75	258.4775	717.19824	-593.23676	1138.2941	21.289118	39.807964	89.33004	-212.22614	2100000	-1.2207031e-08	1529.4473	-0.008299158	-1149.4915	3.9305954	0.012581672	0.13025	68.0	5657.884233474731	2040
105	165.56839	416.47144	605.8031	-594.3277	997.7	24.669792	39.963654	97.14492	-291.3163	2120000	-5.340576e-09	4279.687	-0.002405647	-3365.4688	3.8909438	0.010654674	0.1667	2.0	5701.675159931183	2061
106	349.29785	245.97012	605.69244	-518.9464	1137.0	30.419409	28.565487	145.52032	-206.75409	2140000	-6.1035155e-09	746.1929	-0.01038848	-456.34106	3.9119663	0.008446227	0.0835	79.0	5760.588551282883	2079
107	165.01443	387.7989	581.02094	-593.4515	982.3	21.83118	45.03492	106.02761	-332.3496	2160000	-3.0517577e-09	1894.3424	-0.010539185	-1384.2568	3.9080255	0.009419089	0.10725	79.0	5819.914745569229	2100
